benchmark	optimizer	epochs	train_s_mean	train_s_pm	tok_s_mean	tok_s_pm	train_nll_mean	train_nll_pm	test_nll_mean	test_nll_pm	status	logfile
token-lm-document	adamw	1	0.08	0.08	86243.6	33813.2	5.29256	0.01304	5.10083	0.01266	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_adamw_e1.log
token-lm-document	bimap_lite	1	0.34	0.00	13500.2	195.4	5.26831	0.00528	5.07659	0.01053	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_lite_e1.log
token-lm-document	bimap_v2_0	1	0.37	0.01	12624.1	283.1	5.26931	0.00529	5.07810	0.00981	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_v2_0_e1.log
token-lm-document	bimap_v2	1	0.38	0.00	12282.1	91.9	5.26831	0.00528	5.07659	0.01053	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_v2_e1.log
token-lm-document	adamw	2	0.12	0.08	94171.4	31085.7	4.86857	0.03947	4.84540	0.06383	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_adamw_e2.log
token-lm-document	bimap_lite	2	0.69	0.01	13384.4	100.7	4.86303	0.02478	4.73404	0.04168	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_lite_e2.log
token-lm-document	bimap_v2_0	2	0.73	0.02	12606.2	339.9	4.86598	0.02465	4.73939	0.04052	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_v2_0_e2.log
token-lm-document	bimap_v2	2	0.75	0.00	12216.7	66.4	4.86303	0.02478	4.73404	0.04168	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_v2_e2.log
token-lm-document	adamw	3	0.17	0.08	95742.1	26686.9	4.45846	0.10463	4.69894	0.07141	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_adamw_e3.log
token-lm-document	bimap_lite	3	1.03	0.01	13480.1	127.7	4.44128	0.04886	4.23897	0.07172	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_lite_e3.log
