benchmark	optimizer	epochs	train_s_mean	train_s_pm	tok_s_mean	tok_s_pm	train_nll_mean	train_nll_pm	test_nll_mean	test_nll_pm	status	logfile
token-lm-document	bimap_v2_0	3	1.07	0.00	12917.3	35.3	4.45291	0.04833	4.26553	0.06671	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_v2_0_e3.log
token-lm-document	bimap_v2	3	1.13	0.00	12207.9	45.4	4.44127	0.04886	4.23897	0.07172	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_v2_e3.log
token-lm-document	adamw	4	0.21	0.08	98287.2	24168.0	3.92902	0.18094	4.66886	0.15748	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_adamw_e4.log
token-lm-document	bimap_lite	4	1.37	0.01	13411.3	66.9	3.85595	0.07336	3.60991	0.09496	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_lite_e4.log
token-lm-document	bimap_v2_0	4	1.44	0.01	12811.1	77.0	3.88839	0.07240	3.64474	0.08209	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_v2_0_e4.log
token-lm-document	bimap_v2	4	1.53	0.02	12069.5	150.7	3.85595	0.07336	3.60991	0.09496	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-document_bimap_v2_e4.log
token-lm-corpus-large	adamw	1	0.13	0.09	71053.1	24115.4	5.82141	0.02476	6.34252	0.00545	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_adamw_e1.log
token-lm-corpus-large	bimap_lite	1	1.02	0.02	7019.9	120.4	5.81868	0.02348	6.39963	0.01639	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_lite_e1.log
token-lm-corpus-large	bimap_v2_0	1	1.03	0.01	6951.9	74.5	5.82087	0.02398	6.40202	0.01632	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_v2_0_e1.log
token-lm-corpus-large	bimap_v2	1	1.09	0.01	6582.9	66.1	5.81868	0.02348	6.39963	0.01639	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_v2_e1.log
token-lm-corpus-large	adamw	2	0.21	0.09	76557.3	20133.2	5.00283	0.03285	6.21810	0.03506	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_adamw_e2.log
token-lm-corpus-large	bimap_lite	2	2.04	0.02	7045.4	69.5	4.98547	0.05525	6.26362	0.08299	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_lite_e2.log
token-lm-corpus-large	bimap_v2_0	2	2.06	0.01	6962.0	19.5	4.99044	0.05467	6.26652	0.08329	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_v2_0_e2.log
token-lm-corpus-large	bimap_v2	2	2.21	0.01	6497.7	37.0	4.98547	0.05525	6.26362	0.08299	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_v2_e2.log
token-lm-corpus-large	adamw	3	0.29	0.09	78557.1	16832.3	4.23074	0.11311	6.32643	0.06419	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_adamw_e3.log
token-lm-corpus-large	bimap_lite	3	3.05	0.04	7050.0	96.7	4.17129	0.09090	6.31005	0.11439	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_lite_e3.log
token-lm-corpus-large	bimap_v2_0	3	3.07	0.02	7001.7	49.6	4.18330	0.09268	6.29604	0.10120	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_v2_0_e3.log
token-lm-corpus-large	bimap_v2	3	3.32	0.05	6481.9	102.4	4.17128	0.09090	6.31007	0.11439	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_v2_e3.log
token-lm-corpus-large	adamw	4	0.40	0.14	78252.5	17792.9	3.37197	0.08696	6.52714	0.08572	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_adamw_e4.log
token-lm-corpus-large	bimap_lite	4	4.11	0.05	6983.9	81.3	3.27629	0.10952	6.48482	0.22976	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_lite_e4.log
token-lm-corpus-large	bimap_v2_0	4	4.17	0.08	6869.8	123.1	3.28757	0.09761	6.46118	0.19940	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_v2_0_e4.log
token-lm-corpus-large	bimap_v2	4	4.44	0.04	6453.8	58.5	3.27628	0.10952	6.48482	0.22977	ok	/home/robert/dev/glades-ml/artifacts/bimap_gpu_gate_20260411-083847/raw/sweep_token-lm-corpus-large_bimap_v2_e4.log
