index,pi
798,8
799,5
800,9
801,5
802,0
803,2
804,4
805,4
806,5
807,9
808,4
809,5
810,5
811,3
812,4
813,6
814,9
815,0
816,8
817,3
818,0
819,2
820,6
821,4
822,2
823,5
824,2
825,2
826,3
827,0
828,8
829,2
830,5
831,3
832,3
833,4
834,4
835,6
836,8
837,5
838,0
839,3
840,5
841,2
842,6
843,1
844,9
845,3
846,1
847,1
848,8
849,8
850,1
851,7
852,1
853,0
854,1
855,0
856,0
857,0
858,3
859,1
860,3
861,7
862,8
863,3
864,8
865,7
866,5
867,2
868,8
869,8
870,6
871,5
872,8
873,7
874,5
875,3
876,3
877,2
878,0
879,8
880,3
881,8
882,1
883,4
884,2
885,0
886,6
887,1
888,7
889,1
890,7
891,7
892,6
893,6
894,9
895,1
896,4
897,7
898,3
899,0
900,3
901,5
902,9
903,8
904,2
905,5
906,3
907,4
908,9
909,0
910,4
911,2
912,8
913,7
914,5
915,5
916,4
917,6
918,8
919,7
920,3
921,1
922,1
923,5
924,9
925,5
926,6
927,2
928,8
929,6
930,3
931,8
932,8
933,2
934,3
935,5
936,3
937,7
938,8
939,7
940,5
941,9
942,3
943,7
944,5
945,1
946,9
947,5
948,7
949,7
950,8
951,1
952,8
953,5
954,7
955,7
956,8
957,0
958,5
959,3
960,2
961,1
962,7
963,1
964,2
965,2
966,6
967,8
968,0
969,6
970,6
971,1
972,3
973,0
974,0
975,1
976,9
977,2
978,7
979,8
980,7
981,6
982,6
983,1
984,1
985,1
986,9
987,5
988,9
989,0
990,9
991,2
992,1
993,6
994,4
995,2
996,0
997,1
998,9
999,8
